cliente_id,nombre,fecha_registro,pedidos_ultimos_3m,segmento
105953,Micaela Trujillo Cazorla,2023-09-26,20,premium
102313,Adrián Gutierrez Camacho,2021-12-02,20,premium
105660,Jovita Blasco Ortuño,2023-11-14,20,premium
103030,Vito Puente Ojeda,2024-01-12,19,premium
107758,Olga Castilla Cabañas,2022-09-21,19,premium
106423,Rita Sonia Belmonte Mate,2021-02-20,19,premium
105968,Wálter Llabrés Palomares,2024-07-15,19,premium
104401,Jordi Solsona,2022-04-05,18,premium
104683,Cornelio Martin Azorin,2020-08-20,18,premium
105859,Camila Marí,2024-06-18,18,premium
102151,Verónica Fiol,2023-07-24,18,premium
111488,Virgilio Mateu-Canet,2023-04-20,18,premium
111846,Purificación Pallarès Villena,2022-08-24,18,premium
108230,Julián Hugo Rosell Palacios,2021-04-29,18,premium
101003,Úrsula Bernal-Zamorano,2024-01-29,18,premium
111148,Toribio Crespi Balaguer,2021-02-14,17,premium
114114,Valeria Gisela Cabrero Cabeza,2020-06-24,17,premium
106088,Casemiro Suárez Montserrat,2021-04-29,17,premium
109253,Nieves Asenjo Landa,2021-08-03,17,premium
107592,Édgar de Ayala,2022-04-04,17,premium
100971,Eugenia Andrés,2022-09-16,17,premium
109000,Cornelio Terrón-Mate,2023-01-14,17,premium
101112,Feliciano Casas Villaverde,2023-04-27,17,premium
103342,Hector Guzman Tejero,2023-05-07,17,premium
101044,Ileana Giner Robledo,2020-10-11,17,premium
108737,Ricardo Gracia,2024-05-26,17,premium
108450,Ale Alegre Losa,2024-08-20,17,premium
103466,Raúl del Ariño,2021-06-22,16,premium
107284,Tadeo del Ayllón,2023-08-17,16,premium
108923,Elisa Morell,2023-05-01,16,premium
102381,Lucho Báez Conde,2021-10-11,16,premium
112640,Aitor del Diez,2023-12-27,16,premium
109023,Griselda del Bustamante,2021-03-20,16,premium
103652,Heliodoro Julián,2022-04-30,16,premium
106921,Carmelita Barreda,2021-01-05,16,premium
115175,Lucio Verdugo Mas,2023-10-09,16,premium
104887,Eugenia Borja Garmendia,2024-01-25,16,premium
104887,Eugenia Borja Garmendia,2024-01-25,16,premium
109218,Ainoa Bernad,2024-07-04,16,premium
110977,Wilfredo Izquierdo-Cifuentes,2023-09-24,16,premium
110892,Miguela Polo Almagro,2023-09-01,16,premium
101455,Eduardo Lago Gimeno,2022-09-05,16,premium
108815,Matías Cantón Galan,2024-06-08,16,premium
100812,Martina Galán Montesinos,2020-12-09,16,premium
113274,Miguel Aguilera Folch,2021-08-22,16,premium
111057,Amado Tito Moraleda Estevez,2021-09-06,16,premium
114299,Serafina Lopez Chico,2024-01-21,16,premium
105889,Asunción Marquez Jurado,2021-04-23,16,premium
113001,Andrés Felipe Rodriguez Arteaga,2023-05-31,16,premium
114467,Fabián Parejo Villalobos,2020-07-17,16,premium
114400,Román Cazorla-Barrena,2023-07-26,16,premium
113641,Calixta Ojeda Marin,2024-04-04,16,premium
112185,Yaiza Ribera Sainz,2020-04-13,16,premium
100725,Heriberto Ribera-Roig,2020-06-08,16,premium
101627,Rufina Moya-Figuerola,2023-11-04,16,premium
101098,Guiomar Juan Ángel,2023-06-12,16,premium
106052,Gertrudis de Godoy,2023-03-05,15,premium
104063,Isidro Múgica-Soler,2023-04-27,15,premium
101480,Aura Castejón-Expósito,2020-12-20,15,premium
107822,Elpidio Amat Seco,2021-09-27,15,premium
109396,Gil Toribio Zabaleta Rius,2021-07-14,15,premium
109301,Custodio Escribano Ponce,2024-04-26,15,premium
111928,Virgilio Trinidad Chamorro Carrasco,2020-08-27,15,premium
109365,Abilio Orozco Calzada,2023-04-04,15,premium
104694,Manuel Andres Fuertes,2020-03-15,15,premium
115193,Felicidad Villalobos,2020-03-28,15,premium
104830,Zoraida Valdés Salom,2021-12-26,15,premium
105767,Adela Cortes Huguet,2020-08-11,15,premium
108733,Leandra Montesinos Blanch,2024-05-07,15,premium
104755,Selena de Gascón,2021-10-22,15,premium
110109,Remigio Leon Cueto,2022-05-19,15,premium
104984,María Jesús Ramis Arenas,2022-08-13,15,premium
108687,Marta Menéndez Fábregas,2024-04-08,15,premium
103367,Nélida Botella Pedro,2021-09-20,15,premium
100469,Ruy Rodolfo Cid Oliva,2020-08-15,15,premium
105801,Jenaro Andrade Nogués,2023-08-07,15,premium
105801,Jenaro Andrade Nogués,2023-08-07,15,premium
110992,Miguel Galiano Cobos,2021-03-23,15,premium
107712,Paola Miriam Olivé Ayuso,2023-05-31,15,premium
107043,Maximiliano Araujo Espejo,2024-07-14,15,premium
109563,Noa Pozuelo Céspedes,2022-09-05,15,premium
109816,Godofredo Busquets Villalba,2022-02-22,15,premium
100386,Modesta del Solera,2020-12-11,15,premium
107208,Lucila Samanta Guitart Roura,2024-08-05,15,premium
106959,Jafet Armengol Conesa,2023-01-23,15,premium
105383,César Amor,2022-11-04,15,premium
108545,Pío Fernandez-Gargallo,2023-07-21,15,premium
